iter	Passed	Remaining
0	2	240
1	4	209
2	5	181
3	6	159
4	7	148
5	8	138
6	10	134
7	10	126
8	11	118
9	12	110
10	12	104
11	13	100
12	14	96
13	15	92
14	15	89
15	16	85
16	17	83
17	17	80
18	18	77
19	18	75
20	19	72
21	19	70
22	20	68
23	20	66
24	21	64
25	22	62
26	22	61
27	23	59
28	23	58
29	24	56
30	24	55
31	25	54
32	26	52
33	26	51
34	27	50
35	27	49
36	28	48
37	28	47
38	29	46
39	29	44
40	30	43
41	30	42
42	31	41
43	31	40
44	32	39
45	33	38
46	33	37
47	34	37
48	34	36
49	35	35
50	35	34
51	36	33
52	37	32
53	37	32
54	38	31
55	38	30
56	39	29
57	39	28
58	40	28
59	41	27
60	41	26
61	42	25
62	42	25
63	43	24
64	44	23
65	44	22
66	45	22
67	45	21
68	46	20
69	46	20
70	47	19
71	48	18
72	48	17
73	49	17
74	49	16
75	50	15
76	50	15
77	51	14
78	52	13
79	52	13
80	53	12
81	53	11
82	54	11
83	54	10
84	55	9
85	56	9
86	56	8
87	57	7
88	57	7
89	58	6
90	58	5
91	59	5
92	59	4
93	60	3
94	61	3
95	61	2
96	62	1
97	62	1
98	63	0
99	63	0
