iter	Passed	Remaining
0	200	200292
1	203	101660
2	204	68054
3	205	51214
4	206	41136
5	207	34455
6	208	29639
7	211	26177
8	213	23562
9	215	21332
10	216	19468
11	217	17915
12	218	16596
13	219	15456
14	220	14469
15	221	13615
16	222	12851
17	223	12178
18	224	11612
19	226	11119
20	229	10713
21	230	10266
22	231	9851
23	232	9469
24	233	9123
25	234	8799
26	235	8495
27	236	8212
28	237	7950
29	238	7720
30	241	7541
31	243	7374
32	244	7175
33	245	6983
34	246	6803
35	247	6631
36	248	6467
37	249	6310
38	250	6162
39	250	6021
40	251	5889
41	253	5792
42	256	5717
43	258	5618
44	259	5510
45	260	5405
46	261	5302
47	262	5203
48	263	5109
49	264	5020
50	265	4936
51	267	4869
52	269	4822
53	272	4765
54	273	4692
55	274	4620
56	274	4549
57	275	4479
58	276	4411
59	277	4347
60	278	4283
61	279	4222
62	279	4163
63	281	4118
64	283	4083
65	286	4061
66	288	4014
67	289	3963
68	290	3920
69	291	3873
70	292	3826
71	293	3780
72	294	3736
73	299	3743
74	300	3711
75	301	3671
76	302	3630
77	303	3589
78	304	3554
79	306	3519
80	307	3486
81	308	3456
82	309	3417
83	310	3389
84	312	3364
85	315	3356
86	316	3326
87	317	3295
88	319	3266
89	320	3238
90	321	3214
91	323	3191
92	325	3172
93	326	3150
94	328	3128
95	329	3101
96	330	3078
97	332	3060
98	335	3054
99	336	3029
100	337	3005
101	339	2987
102	341	2970
103	344	2969
104	345	2948
105	347	2927
106	348	2909
107	349	2886
108	350	2863
109	351	2841
110	353	2828
111	358	2839
112	360	2829
113	361	2810
114	362	2792
115	363	2772
116	364	2750
117	365	2731
118	366	2713
119	367	2693
120	368	2680
121	371	2670
122	374	2667
123	375	2653
124	376	2635
125	377	2618
126	378	2600
127	379	2582
128	379	2565
129	380	2548
130	381	2530
131	382	2513
132	385	2512
133	388	2508
134	389	2497
135	390	2482
136	391	2467
137	392	2451
138	393	2436
139	394	2421
140	395	2407
141	395	2390
142	396	2377
143	398	2370
144	400	2361
145	402	2355
146	404	2347
147	405	2334
148	406	2320
149	407	2307
150	408	2294
151	408	2280
152	409	2267
153	410	2254
154	411	2244
155	413	2234
156	415	2230
157	418	2231
158	419	2220
159	420	2209
160	421	2196
161	422	2184
162	423	2173
163	424	2161
164	424	2150
165	425	2140
166	427	2131
167	429	2127
168	432	2124
169	433	2115
170	434	2105
171	435	2094
172	436	2084
173	436	2073
174	437	2063
175	438	2052
176	439	2042
177	440	2034
178	442	2030
179	445	2028
180	446	2020
181	447	2011
182	448	2002
183	449	1992
184	450	1982
185	450	1973
186	451	1964
187	452	1954
188	453	1945
189	454	1937
190	455	1930
191	459	1932
192	462	1934
193	463	1926
194	464	1917
195	466	1911
196	467	1904
